Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName
LKY,Scrypt,PoW,19326319.14375,20000000.0,-0.1698551178858662,-1.1283910511059407,-0.0450630898779789,3,LuckyCoin
LTB,Scrypt,PoW,1104344.22938102,1350000.0,-0.1702099537776301,-1.1283887043397247,-0.04505566426064319,3,Litebar 
MAX,SHA3,PoW/PoS,61445805.0,100000000.0,-0.43114392997529505,1.972400177356094,-0.6359596133556906,0,MaxCoin
MEC,Scrypt,PoW,38151999.9930997,42000000.0,-0.16946914869677995,-1.1283948671623312,-0.04507096653961095,3,MegaCoin
MED,HybridScryptHash256,PoW,40431856.9,200000000.0,-0.1375140523035034,-2.179164497992176,0.36225919753495733,3,MediterraneanCoin
MINT,Scrypt,PoS,21293925445.4969,0.0,-0.037471822553708824,0.8072057607938058,-0.32596950288480137,0,MintCoin
MINC,Scrypt,PoW,5804204.88794916,10000000.0,-0.17009120040923922,-1.1283912653099024,-0.0450578676454282,3,MinCoin
MZC,SHA-256,PoW/PoS,1613836099.99999,2419200000.0,-0.2763897087951176,0.8090263806428302,-0.3593787653114479,0,MazaCoin
NAUT,Scrypt,PoS,16180000.0,16180000.0,-0.29724189228749226,0.79884592846631,-0.31893412064642795,0,Nautilus Coin
NAV,X13,PoW/PoS,66087096.2077108,0.0,-0.28388507484996406,1.7633962652443371,-0.5886173691616412,0,NavCoin
NOBL,Scrypt,PoW,2366066305.76482,15000000000.0,-0.034947441856927025,-1.1350996722747693,-0.046963321157534946,3,NobleCoin
NMC,SHA-256,PoW,14736400.0,21000000.0,-0.1408943007565189,-1.3184285152805826,0.20586748457377138,3,Namecoin
NYAN,Scrypt,PoW,334709223.483138,337000000.0,-0.16375475039217532,-1.1284287189827822,-0.045191176638312826,3,NyanCoin
OPAL,X13,PoW/PoS,15156364.3306548,0.0,-0.2845071390811921,1.763376274749389,-0.5886005262584276,0,OpalCoin
ORB,NeoScrypt,PoW/PoS,3220616.279225,3770000.0,-0.35047189788389116,0.5022447055758278,-0.26381596502765187,0,Orbitcoin
POT,Scrypt,PoW/PoS,222677226.014206,420000000.0,-0.3365702150500886,0.9995337464976313,-0.6096978096744299,0,PotCoin
PXC,Scrypt,PoW/PoS,73959274.625,98000000.0,-0.3406704112124372,0.9996393776035181,-0.6096244641545385,0,PhoenixCoin
RDD,Scrypt,PoW/PoS,29315567169.0888,0.0,0.015789388031838155,1.0111667276792304,-0.6192873728325679,0,Reddcoin
RPC,Scrypt,PoW,1104157.42169891,21000000.0,-0.1700705895943909,-1.1283987126972173,-0.04505713881368731,3,RonPaulCoin
SBC,Scrypt,PoW,24215181.725,250000000.0,-0.1681641442549872,-1.1285062775207344,-0.04508196675800737,3,StableCoin
SMC,Scrypt,PoW,25593737.1355044,51200000.0,-0.1695572839432635,-1.1284044821379842,-0.04506750389981973,3,SmartCoin
SUPER,X11,PoS,50707661.7493518,0.0,-0.3470240524271051,1.029252099618659,-0.17002138329876237,0,SuperCoin
SYNC,X11,PoW/PoS,1177.0,1000.0,-0.3923579049033733,1.2300446403678837,-0.4606697103055931,0,SyncCoin
SYS,SHA-256,PoW,563336541.299966,888000000.0,-0.1280445924722752,-1.3186547746466457,0.2056209981624305,3,SysCoin
TES,Multiple,PoS,80260463.7331396,100000000.0,-0.2536746485502929,0.09028528922602708,0.09017757655667048,0,TeslaCoin
TGC,SHA-256,PoW,43536800.0,47011968.0,-0.14035804643165503,-1.3184304596293144,0.20585600817676517,3,TigerCoin
